iso_code,location,month,population,total_cases,total_deaths,new_cases,icu_patients,hosp_patients,new_tests,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations
ABW,Aruba,2020-03-01,107195.0,55,0,55.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-04-01,107195.0,100,2,45.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-05-01,107195.0,101,3,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-06-01,107195.0,103,3,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-07-01,107195.0,121,3,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-08-01,107195.0,2006,10,1885.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-09-01,107195.0,3963,27,1957.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-10-01,107195.0,4513,38,550.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-11-01,107195.0,4845,45,332.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2020-12-01,107195.0,5489,49,644.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2021-01-01,107195.0,6966,59,1477.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2021-02-01,107195.0,7891,73,925.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ABW,Aruba,2021-03-01,107195.0,9443,86,1552.0,0,0,0,0.0,25766.0,15600.0,10166.0,0.0,0
ABW,Aruba,2021-04-01,107195.0,10638,99,1195.0,0,0,0,0.0,76865.0,54306.0,22559.0,0.0,32484
ABW,Aruba,2021-05-01,107195.0,10985,107,347.0,0,0,0,0.0,114154.0,63113.0,51041.0,0.0,32613
ABW,Aruba,2021-06-01,107195.0,11138,107,153.0,0,0,0,0.0,127256.0,67827.0,59429.0,0.0,12377
ABW,Aruba,2021-07-01,107195.0,11730,110,592.0,0,0,0,0.0,138509.0,72793.0,65716.0,0.0,9009
ABW,Aruba,2021-08-01,107195.0,14576,146,2846.0,0,0,0,0.0,148225.0,78669.0,69556.0,0.0,6486
ABW,Aruba,2021-09-01,107195.0,15500,166,924.0,0,0,0,0.0,156179.0,81374.0,74805.0,0.0,7158
ABW,Aruba,2021-10-01,107195.0,15925,171,425.0,0,0,0,0.0,159406.0,82650.0,76756.0,0.0,2639
ABW,Aruba,2021-11-01,107195.0,16354,174,429.0,0,0,0,0.0,161643.0,83640.0,78003.0,0.0,1775
